Time(s)	H2 (2.2)	H2O (18.2)	N2 (28.2)	CO2 (44.2)	Oil? (78.0)
449755	5.94E-06	3.54E-09	1.51E-09	9.53E-10	1.63E-10
451001	5.89E-06	3.45E-09	1.42E-09	9.23E-10	1.62E-10
452249	5.86E-06	3.56E-09	1.47E-09	8.62E-10	1.38E-10
453495	5.84E-06	3.62E-09	1.43E-09	9.33E-10	2.71E-10
454741	5.80E-06	3.63E-09	1.60E-09	1.02E-09	2.15E-10
455987	5.83E-06	3.57E-09	1.47E-09	9.93E-10	2.16E-10
457233	5.83E-06	3.50E-09	1.51E-09	9.38E-10	2.01E-10
458479	5.80E-06	3.48E-09	1.41E-09	9.40E-10	1.54E-10
459726	5.77E-06	3.58E-09	1.50E-09	1.02E-09	2.40E-10
460972	5.77E-06	3.53E-09	1.40E-09	9.32E-10	1.86E-10
462218	5.74E-06	3.51E-09	1.46E-09	9.21E-10	1.33E-10
463465	5.74E-06	3.52E-09	1.32E-09	8.08E-10	2.49E-11
464712	5.72E-06	3.54E-09	1.42E-09	8.92E-10	2.14E-10
465958	5.70E-06	3.55E-09	1.48E-09	9.43E-10	2.06E-10
467204	5.70E-06	3.55E-09	1.53E-09	8.61E-10	1.42E-10
468450	5.72E-06	3.43E-09	1.39E-09	8.20E-10	1.07E-10
469697	5.70E-06	3.47E-09	1.49E-09	9.20E-10	8.32E-11
470943	5.62E-06	3.40E-09	1.34E-09	8.85E-10	1.65E-10
472189	5.66E-06	3.42E-09	1.41E-09	8.38E-10	1.67E-10
473435	5.59E-06	3.42E-09	1.37E-09	9.03E-10	1.70E-10
474681	5.58E-06	3.44E-09	1.37E-09	8.31E-10	1.59E-10
475928	5.60E-06	3.45E-09	1.42E-09	8.52E-10	1.27E-10
477174	5.56E-06	3.38E-09	1.44E-09	8.23E-10	1.21E-10
478420	5.54E-06	3.51E-09	1.37E-09	8.02E-10	1.71E-10
479667	5.52E-06	3.43E-09	1.36E-09	8.09E-10	1.07E-10
480913	5.51E-06	3.43E-09	1.34E-09	7.95E-10	1.25E-10
482159	5.44E-06	3.43E-09	1.44E-09	9.30E-10	1.51E-10
483404	5.43E-06	3.47E-09	1.48E-09	8.95E-10	1.77E-10
484651	5.51E-06	3.40E-09	1.38E-09	8.33E-10	1.91E-10
485897	5.43E-06	3.39E-09	1.36E-09	8.21E-10	8.27E-11
487143	5.46E-06	3.36E-09	1.30E-09	8.32E-10	1.81E-10
488389	5.42E-06	3.32E-09	1.29E-09	8.09E-10	7.55E-11
489636	5.40E-06	3.47E-09	1.46E-09	9.47E-10	1.69E-10
490882	5.40E-06	3.38E-09	1.37E-09	8.30E-10	1.78E-10
492128	5.40E-06	3.29E-09	1.33E-09	7.63E-10	7.68E-11
493374	5.33E-06	3.38E-09	1.34E-09	8.10E-10	1.12E-10
494620	5.34E-06	3.33E-09	1.36E-09	8.52E-10	1.16E-10
495867	5.34E-06	3.45E-09	1.42E-09	8.93E-10	9.94E-11
497114	5.26E-06	3.33E-09	1.37E-09	8.17E-10	1.84E-10
